file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00275_0804_4566476_to_4566988,སྔགས་དང་ ,sngags dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00275_0804_4566476_to_4566988.wav,STT_AB,3,9,0.512,wav16k/STT_AB00275_0804_4566476_to_4566988.wav,སྔགས་དང་
STT_TT00751_0039_232824_to_235179,མིག་གི་ཡུལ་དུ་གཟུགས། རྣ་བའི་སྒྲ།  ,mig gi yul du gzugs/_rna ba'i sgra/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00751_0039_232824_to_235179.wav,STT_TT,3,34,2.355,wav16k/STT_TT00751_0039_232824_to_235179.wav,མིག་གི་ཡུལ་དུ་གཟུགས། རྣ་བའི་སྒྲ།
STT_NS_M0356_0050_289001_to_292892,ནང་ལས་ལས་འཆར་དེ་ཚོ་བསྐུར་དུས་ཙམ་པ་ལ་ང་ལ་ཨེ་འདྲའི་དཀའ་ངལ་འཕྲད་ཀི་མ་རཱ་འདྲ་བོ་བསམ་སོང་ད་རཱ།  ,nang las las 'char de tsho bskur dus tsam pa la nga la e 'dra'i dka' ngal 'phrad ki ma rA 'dra bo bsam song da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0356_0050_289001_to_292892.wav,STT_NS,3,91,3.891,wav16k/STT_NS_M0356_0050_289001_to_292892.wav,ནང་ལས་ལས་འཆར་དེ་ཚོ་བསྐུག་དུས་ཙམ་པ་ལ་ང་ལ་ཨེ་འདྲའི་དཀའ་ངལ་འཕྲད་ཀི་མ་རཱ་འདྲ་བོ་བསམ་སོང་ད་རཱ།
STT_CS-X-2016-P-D-B02-3-R-02_0011_72653_to_80603,ང་འདི་ཡོང་གི་མ་རེད། ང་ཡིས་ཁོ་ལ་ཁ་ལག་མང་པོ་སྤྲད་ཀྱི་རཱ། ཁོ་རྒྱག་པ་ཆགས་ན། རྒྱག་པ་མང་པོ་དཔེ་ཆགས་བཅུག་གི་མེད་ད་རཱ། གཅིག་སྒང་ལ་ཁོང་ཚོ་ཁ་ལག་ ,nga 'di yong gi ma red/_nga yis kho la kha lag mang po sprad kyi rA/_kho rgyag pa chags na/_rgyag pa mang po dpe chags bcug gi med da rA/_gcig sgang la khong tsho kha lag _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2016-P-D-B02-3-R-02_0011_72653_to_80603.wav,STT_CS,3,135,7.95,wav16k/STT_CS-X-2016-P-D-B02-3-R-02_0011_72653_to_80603.wav,་དེ་ཡང་ག་རེ། ང་ཡ་ཁོ་ལ་ཁ་ལག་མང་པོ་སྤྲད་ཀྱི་རཱ། ཁོ་རྒྱགས་པ་ཆགས་རྒྱགས་པ་མང་པོ་ཆགས་ཐུབ་ཀྱི་མེད་ད་རཱ། ་ང་ཁོ་ཁ་ལག
STT_NS_M0364_0211_1300959_to_1303037,སྔགས་ཤོགས་བྱེད་མྱི་མང་དྲགས་ཡ་རཱ། ཨོ་དེ་བྱས་ནས་ག་དུས་ཡིན་ན་ད།  ,sngags shogs byed myi mang drags ya rA/_o de byas nas ga dus yin na da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0364_0211_1300959_to_1303037.wav,STT_NS,3,62,2.078,wav16k/STT_NS_M0364_0211_1300959_to_1303037.wav,བསྔགས་རྗོག་བྱེད་མྱི་མང་དྲགས་ཡོ་རཱ། ཨོ་དེ་བྱས་ནས་ག་དུས་ཡིན་ན་ད།
STT_CS-L-2014_2013-M_M-D_D-B04_B01-4_4-R_R-01_0143_1032755_to_1038421,ཨ་ཅག་ལགས། ཨ་ཅག་ཁྱེད་རང་མིང་ག་རེ་རེད། ངའི་མིང་ལ་བསྟན་འཛིན་ཚེ་སྐྱིད་མཛེས་མ་ཟེར།  ,a cag lags/_a cag khyed rang ming ga re red/_nga'i ming la bstan 'dzin tshe skyid mdzes ma zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2014_2013-M_M-D_D-B04_B01-4_4-R_R-01_0143_1032755_to_1038421.wav,STT_CS,3,79,5.666,wav16k/STT_CS-L-2014_2013-M_M-D_D-B04_B01-4_4-R_R-01_0143_1032755_to_1038421.wav,ཨ་ཅག་ལགས་ཨ་ཅག་ཁྱོད་རང་གི་མིང་ག་རེ་རེད། ངའི་མིང་ལ་བསྟན་འཛིན་ཚེ་སྐྱིད་རྩད་མ་ཟེར།
STT_NS_M0355_0153_2743995_to_2746182,ད་སོ་སོ་སྒྲ་འཇུག་འདི་ཉན་དགོས་རཱ་དང་པོ། གཅིག་ཉན་དུས་ཡོད་བ་ཡག་ ,da so so sgra 'jug 'di nyan dgos rA dang po/_gcig nyan dus yod ba yag _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0355_0153_2743995_to_2746182.wav,STT_NS,3,61,2.187,wav16k/STT_NS_M0355_0153_2743995_to_2746182.wav,ད་སོ་སོའ་སྒྲ་འཇུག་དེ་ཉན་དགོས་རཱ་དང་པོ། གཅིག་ཉན་དུས་ཡོད་ཡག་
STT_CS-X-2014-M-D-B02-3-R-02_0187_1245469_to_1252551,ནང་སླེབས་དུས་པ་ལགས་དང་ཨ་མ་ལགས་གཉིས་ཀ་ནང་ལ་འགྲོ་ཚར་འདུག་ད། ང་། ཨ་ཅག་ཚར་སོང་ངེ་།  ,nang slebs dus pa lags dang a ma lags gnyis ka nang la 'gro tshar 'dug da/_nga /_a cag tshar song nge /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2014-M-D-B02-3-R-02_0187_1245469_to_1252551.wav,STT_CS,3,80,7.082,wav16k/STT_CS-X-2014-M-D-B02-3-R-02_0187_1245469_to_1252551.wav,ནང་སླེབས་དུས་པ་ལགས་དང་ཨ་མ་ལགས་གཉིས་ཆ་ནང་ལ་འགྲོ་ཚར་འདུག་ད་ང་། ཨ་ཅག་ཚར་སོང་ངེ་།
STT_PC0040_0100_723518_to_725630,ཨ་རི་དང་འབྲེལ་བ་སྡུག་རུ་ཕྱིན་པའི་རྐྱེན་གིས་ ,a ri dang 'brel ba sdug ru phyin pa'i rkyen gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0040_0100_723518_to_725630.wav,STT_PC,3,44,2.112,wav16k/STT_PC0040_0100_723518_to_725630.wav,ཨ་རི་དང་འབྲེལ་བ་སྡུག་རུ་ཕྱིན་པའི་རྐྱེན་གྱིས་
STT_NS_M0368_0352_2355520_to_2359491,ད་ང་ཚོ་དུས་ཚོད་སྟོང་པ་འདྲ་བོ་རག་དུས་སྐབས་སུ་མི་མང་ཆེ་བ་གཅིག་མི་ཚང་མ་འདྲ་བོ་གཅིག ,da nga tsho dus tshod stong pa 'dra bo rag dus skabs su mi mang che ba gcig mi tshang ma 'dra bo gcig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0368_0352_2355520_to_2359491.wav,STT_NS,3,80,3.971,wav16k/STT_NS_M0368_0352_2355520_to_2359491.wav,ད་ང་ཚོ་དུས་ཚོད་སྟོང་པ་འདྲ་བོ་རག་དུས་སྐབས་སུ་མི་མང་ཆེ་བ་ཅིག་མི་ཚང་མ་འདྲ་བོ་ཅིག
